,created_at,id,text,classification,score
0,2022-07-07T21:51:41.000Z,1545163668735680513,How is @airtransat the only Canadian airline that does not honour a full refund within 24 hours of booking?! Sometimes emergencies happen and it was one small grace that most airlines offer. Never flying with @airtransat again!,Positive,0.46633222699165344
1,2022-07-07T21:38:22.000Z,1545160318111780864,@jonnychipz @airtransat just got through in less than 2 hours woooo!,Positive,0.5531296133995056
2,2022-07-07T20:57:08.000Z,1545149943949758465,@qwyn28282828 @airtransat 🥲,Neutral,0.6892493963241577
3,2022-07-07T20:56:34.000Z,1545149799355359234,"@airtransat Now there's no need, I waste my time to go to the airport again and a person from AirTransat help me a lot. Now at least I have some probe that I claim my baggage whereas yesterday no. All the personal who answered me by phone didn't helped me at all 'just wait'.",Negative,0.5232993960380554
4,2022-07-07T20:53:18.000Z,1545148978580291586,@airtransat *reply,Neutral,0.692213237285614
5,2022-07-07T20:53:07.000Z,1545148932807876609,@airtransat Hi I’ve had no replay whatsoever on Messenger (and imessage),Negative,0.4932108521461487
6,2022-07-07T20:51:50.000Z,1545148608999067648,@jonnychipz @airtransat oh buddy 40 mins is nothing. average is 6 hours,Neutral,0.585159957408905
7,2022-07-07T20:37:38.000Z,1545145034080542720,@airtransat @igzrap hi @airtransat the above link opens a World Tracer form that asks for a 10 character file reference number. I’ve filled out all the forms and sent emails but I don’t see a 10 character file reference number anywhere. Where would I find it?,Negative,0.6678426861763
8,2022-07-07T19:40:44.000Z,1545130715246956544,@Raviolico1 @airtransat #YoSoyRaviolico,Neutral,0.872800350189209
9,2022-07-07T19:30:29.000Z,1545128136081346560,Was on hold with @airtransat for 2 hours only to be disconnected prior to speaking to anyone.,Negative,0.6503461599349976
10,2022-07-07T18:31:04.000Z,1545113182422941697,@airtransat ...this is getting a bit ridiculous,Negative,0.9414157271385193
11,2022-07-07T17:33:22.000Z,1545098662677811200,@airtransat can you explain this !? https://t.co/M3VOHlUxn9,Neutral,0.7044199705123901
12,2022-07-07T17:32:23.000Z,1545098414664335361,"@airtransat thanks, I have sent a message. However, your auto response says we have to talk with an agent.",Neutral,0.8159100413322449
13,2022-07-07T17:22:30.000Z,1545095928985550848,"RT @ssolyom: @airtransat 
3 days since you did not deliver our checked bag and no response to our inquiries. We’re in Europe without our ne…",Negative,0.8589678406715393
14,2022-07-07T17:21:09.000Z,1545095590085738496,"RT @ssolyom: @airtransat 
3 days since you did not deliver our checked bag and no response to our inquiries. We’re in Europe without our ne…",Negative,0.8589678406715393
15,2022-07-07T17:20:26.000Z,1545095406429900801,@airtransat Your website kept saying error occurred. My flight is tomorrow what do I do now?? I have an emergency which is causing me to cancel my flight,Negative,0.7460404634475708
16,2022-07-07T17:12:20.000Z,1545093368040005633,"RT @ssolyom: @airtransat 
3 days since you did not deliver our checked bag and no response to our inquiries. We’re in Europe without our ne…",Negative,0.8589678406715393
17,2022-07-07T17:08:35.000Z,1545092428289527809,"@airtransat on hold for over two hours, I cancelled my flights and have not received a refund. Please help me. Nobody is replying neither on the phone or facebook.",Negative,0.8578219413757324
18,2022-07-07T16:07:20.000Z,1545077013722963968,RT @flySFO: Bonjour Montreal! SFO is  très excité to welcome Air Transat's new nonstop service to Montreal! The seasonal service runs twice…,Positive,0.8767018914222717
19,2022-07-07T16:01:24.000Z,1545075520571936770,"@airtransat need to do a name change on a booking. we've been on hold for 4 hours over the last 2 days, and requested a call back but it has not happened.",Negative,0.6449201703071594
20,2022-07-07T15:47:43.000Z,1545072074183540737,RT @MSN3503: Un #A321Neo de @airtransat ce matin à Toulouse ! @MartoglioQ @alexandre_spott https://t.co/iQMqikqAeD,Neutral,0.8031959533691406
21,2022-07-07T15:40:39.000Z,1545070298277494788,"Our flight to Lisbon was on Hi Fly and there was no entertainment on board, no kids club perks. We leave back to Toronto in a weeks time. I doubt the service offered will change. Extremely disappointed with @airtransat https://t.co/ky5tQ9xDDK",Negative,0.9367364645004272
22,2022-07-07T15:39:16.000Z,1545069948002770944,"@airtransat have been trying to contact you for the past few days!! My flights is tomorrow and I need to rebook it. How do I contact you, I have tried phone, Facebook, email twitter. Come on air transat do better!!",Negative,0.513943076133728
23,2022-07-07T15:27:49.000Z,1545067069263290370,@airtransat I waited on hold for 1.5 hours before providing the option to request a callback. How long does that normally take… I asked for a callback at 5 p.m. I would’ve kept holding had I known it would be such a long wait…,Negative,0.7970672249794006
24,2022-07-07T15:24:58.000Z,1545066351894609921,".@airtransat It's been a day and still no answer. Anyone there? No response on Twitter, Facebook, phone.",Negative,0.7668361067771912
25,2022-07-07T15:16:36.000Z,1545064244567281671,"@airtransat What number can I use to reach airtransat from Portugal? I don't have a landline phone here, only cell (I have roaming). I've tried all numbers listed, none work. Desperately need to talk to a human about my booking.",Negative,0.5795828700065613
26,2022-07-07T15:08:59.000Z,1545062326390255617,@ssolyom @airtransat We are 18 days without our luggage. Not even a single response from air transat,Negative,0.7998939156532288
27,2022-07-07T14:54:25.000Z,1545058664012058624,@airtransat hello there 😊 do you only allow 1 emotional support animal per person? Thank you 😊,Neutral,0.5510746836662292
28,2022-07-07T14:51:39.000Z,1545057965987618816,"@airtransat Thanks. When you say regular size and weight, is there a maximum for either? The car seats I've got are fairly standard, but they're quite heavy as they've got a lot of extra safety features. The exact model is Joie i-Spin 360 (https://t.co/wVDBy3KCW7)",Neutral,0.699349582195282
29,2022-07-07T14:44:54.000Z,1545056266401112073,Un #A321Neo de @airtransat ce matin à Toulouse ! @MartoglioQ @alexandre_spott https://t.co/iQMqikqAeD,Neutral,0.7762642502784729
30,2022-07-07T14:39:11.000Z,1545054829793255426,"@airtransat 
3 days since you did not deliver our checked bag and no response to our inquiries. We’re in Europe without our needed possessions, and we can’t even get the courtesy of a response. Your phone line is never answered and your mailbox is full. This is terrible service.",Negative,0.947666347026825
31,2022-07-07T14:20:26.000Z,1545050109615910913,@airtransat @BahiaPrincipe Don't book! Poor customer service!,Negative,0.9164092540740967
32,2022-07-07T13:59:00.000Z,1545044716047069184,@airtransat @viccccoooou Need to talk to agent urgently. Tried to contact you via phone and Facebook messenger with no luck. Please help!,Negative,0.6454407572746277
33,2022-07-07T13:54:18.000Z,1545043533295456256,"@airtransat pour prendre les 700 millions du fédéral vous êtes les premiers mais pour proposer des avoirs vous êtes bien moins efficace! Le but est-il de prendre l’argent du fédéral ET de vos clients? Lobby de @Raymond_Bachand efficace, à l’inverse du respect envers vos clients🤷‍♂️",Negative,0.8237590193748474
34,2022-07-07T13:14:26.000Z,1545033501501755392,"C'est magnifique! Did you see @CarolyneParent's recent feature story about @discoverLA  in Le Devoir? Can't wait to book our next trip, especially with new direct flights from Montreal via @airtransat  ✈️ https://t.co/RObd3V8GLx",Positive,0.8793008327484131
35,2022-07-07T13:04:01.000Z,1545030880908943362,"@airtransat hi! Trying to add baggage to my flight for over a day, keeps giving an error message. Can someone help me?",Negative,0.7061455845832825
36,2022-07-07T12:43:46.000Z,1545025784837971968,"@airtransat on hold for two hours, I cancelled my flights and have not received a refund. Please help me. Nobody is replying neither on the phone or facebook.",Negative,0.8550100326538086
37,2022-07-07T12:40:49.000Z,1545025039153745921,@airtransat I cannot get through to anyone by phone or messenger. How can I modify my seat selection?  I am not able to modify it myself.,Negative,0.724898636341095
